Term,Frequency
right,29342
left,23267
chest,22576
reason,20094
clip,19561
lung,17245
examination,10777
report,10726
radiology,10528
lobe,10510
number,10434
final,10075
contrast,9660
hospital,9509
ct,9209
medical,9058
condition,9003
old,8976
year,8842
diagnosis,8832
ap,8763
pleural,8649
admitting,8555
tube,8350
mass,8339
upper,8001
name,7922
effusion,7775
portable,7730
pm,7444
lower,6992
impression,6958
small,6417
interval,6268
sp,6210
pneumothorax,6196
findings,6095
man,5904
unchanged,5893
comparison,5867
change,5844
seen,5734
prior,4982
pulmonary,4960
eval,4811
placement,4688
within,4649
study,4570
evaluate,4570
please,4500
indication,4469
history,4402
woman,4266
post,4109
cm,4041
new,3913
evidence,3813
status,3751
last,3709
noted,3672
atelectasis,3565
cancer,3486
edema,3486
patient,3276
line,3242
pneumonia,3237
iv,3146
compared,3003
normal,2989
large,2979
tip,2933
likely,2869
size,2849
bilateral,2836
radiograph,2814
position,2770
mediastinal,2730
also,2682
assess,2677
stable,2656
opacity,2653
increased,2629
images,2604
changes,2600
lesion,2586
head,2546
first,2496
metastatic,2486
catheter,2478
fluid,2433
brain,2420
yearold,2395
mm,2354
without,2327
obtained,2293
air,2291
x,2291
acute,2281
technique,2272
identified,2214
view,2200
abdomen,2191
present,2186
namepattern,2143
lobectomy,2129
well,2122
consolidation,2111
lesions,2085
wo,2082
consistent,2064
disease,2036
hilar,2011
lateral,1998
may,1981
multiple,1959
mild,1929
heart,1928
ca,1904
amt,1894
performed,1882
artery,1854
effusions,1849
since,1831
apical,1814
contraindications,1813
hemorrhage,1811
appearance,1795
previous,1770
made,1769
picc,1763
frontal,1753
pa,1695
resection,1692
central,1685
due,1677
ro,1665
clear,1663
opacities,1658
significant,1652
collapse,1642
pelvis,1638
optiray,1617
ptx,1586
single,1586
w,1579
moderate,1565
base,1565
l,1560
region,1555
unremarkable,1550
hemithorax,1503
shift,1469
appears,1467
svc,1463
recent,1459
known,1455
tubes,1454
axial,1445
persistent,1422
evaluation,1411
represent,1409
pfi,1394
posterior,1386
structures,1383
initial,1378
cell,1376
pneumonectomy,1373
worsening,1368
vein,1363
visualized,1362
extensive,1362
slightly,1362
rightsided,1360
middle,1357
wall,1350
emphysema,1346
remains,1345
bronchus,1344
pre,1338
r,1335
place,1335
dr,1329
liver,1327
exam,1317
two,1317
opacification,1314
stitle,1312
tumor,1310
physician,1304
cont,1303
soft,1300
mid,1266
thoracic,1264
could,1261
doctor,1260
mr,1255
wcontrast,1250
endotracheal,1245
failure,1236
level,1213
lymphadenopathy,1194
process,1184
amount,1177
lymph,1165
measuring,1162
clinical,1152
cardiac,1150
area,1128
subcutaneous,1127
obstruction,1123
approximately,1121
subclavian,1121
pericardial,1120
lf,1118
spine,1116
c,1115
associated,1107
volume,1107
venous,1103
carina,1102
stent,1101
previously,1095
mri,1081
stomach,1079
tissue,1072
superior,1067
infiltrate,1064
read,1062
earlier,1059
main,1049
aspiration,1044
pna,1042
vascular,1041
respiratory,1037
removal,1030
mediastinum,1018
thickening,1011
lat,1010
increase,1007
diffuse,1004
wet,1002
cta,988
procedure,985
however,983
leftsided,983
pe,982
bowel,981
interstitial,980
cc,977
along,972
intracranial,958
et,956
focal,954
areas,947
compression,941
midline,940
adjacent,939
numeric,935
identifier,935
nodes,932
free,923
enlarged,922
distal,921
film,911
osseous,909
lungs,905
nodule,904
anterior,903
intubated,902
ng,901
concerning,900
day,893
pain,884
appear,880
decreased,874
demonstrated,870
loss,869
mets,868
aorta,866
surgical,863
possible,857
limited,856
one,853
effect,852
abdominal,850
density,838
internal,830
dated,830
veins,828
renal,827
slight,826
enhancement,822
intravenous,813
wwo,810
cerebellar,807
residual,805
fracture,803
nodules,801
postoperative,800
cannot,796
hours,793
improved,792
silhouette,792
measures,788
field,782
bone,781
ett,779
otherwise,775
removed,772
upright,772
vertebral,767
placed,763
apex,759
chf,758
sagittal,757
administration,756
adrenal,749
patent,749
contours,747
hypoxia,742
throughout,742
nasogastric,740
bronchial,740
masses,737
dvt,732
excluded,731
side,728
infection,726
note,722
patchy,722
jugular,718
following,717
enhancing,714
surrounding,713
portion,709
basilar,708
patients,707
breath,698
severe,697
complete,691
node,687
different,682
metastases,681
metastasis,680
femoral,679
involving,677
sided,677
male,675
ij,671
supine,665
low,665
demonstrates,664
rul,664
given,664
minimal,660
port,645
un,645
bleed,642
xray,640
demonstrate,632
imaging,631
scan,627
flow,625
loculated,624
body,624
similar,622
improvement,621
proximal,620
suspicious,620
casda,620
image,617
lobes,610
space,608
terminates,606
hemoptysis,602
calcifications,598
limits,595
collection,595
discussed,595
shortness,594
remain,592
probably,590
prominent,589
related,588
aeration,586
increasing,583
blood,582
grossly,579
ventricle,576
nsclc,574
chronic,571
aortic,570
secondary,569
rib,567
zone,565
lytic,563
underlying,563
intubation,563
progression,563
changed,563
malignancy,562
neck,560
definite,560
coronal,559
biopsy,559
fever,559
bilaterally,558
recommended,556
parenchymal,555
hemidiaphragm,555
basal,555
views,555
noncontrast,550
parietal,550
radiographs,548
segment,546
perihilar,543
although,540
advanced,539
female,537
copd,537
common,535
carcinoma,534
provisional,533
arteries,533
white,532
cardiomediastinal,532
postobstructive,530
sob,528
kidney,527
junction,526
cord,526
bronchoscopy,525
degenerative,525
